time	V(vout)
Step Information: X=100n Y=1K  (Run: 1/6)
1.501000000000000e-003	5.388178e-001
1.502000000000000e-003	5.387746e-001
1.641200703124985e-003	4.687636e-001
1.781825703124980e-003	4.072688e-001
1.922450703124975e-003	3.538412e-001
2.000000000000000e-003	3.274374e-001
2.001000000000000e-003	3.276130e-001
2.106333503141445e-003	3.948341e-001
2.229380378141449e-003	4.648989e-001
2.370005378141455e-003	5.350962e-001
2.501000000000000e-003	5.921769e-001
2.502000000000000e-003	5.920803e-001
2.641200703125006e-003	5.151426e-001
2.737880390625010e-003	4.676704e-001
2.878505390625015e-003	4.063191e-001
2.999215312498521e-003	3.601162e-001
3.000000000000000e-003	3.598337e-001
Step Information: X=470n Y=10K  (Run: 5/6)
0.000000000000000e+000	0.000000e+000
5.999998014231095e-007	3.897691e-005
1.000000000000000e-006	1.063753e-004
6.557144405700895e-005	1.374949e-002
1.768995690570090e-004	3.683614e-002
3.380323815570092e-004	6.929722e-002
5.010000000000000e-004	1.010154e-001
5.020000000000001e-004	1.010993e-001
1.000000000000000e-003	9.093511e-002
1.001000000000000e-003	9.102280e-002
1.241099128124652e-003	1.362916e-001
1.501000000000000e-003	1.827565e-001
1.502000000000000e-003	1.828231e-001
2.000000000000000e-003	1.644426e-001
2.001000000000000e-003	1.645147e-001
2.326060065641453e-003	2.203453e-001
2.501000000000000e-003	2.488316e-001
2.502000000000000e-003	2.488841e-001
2.737880390625010e-003	2.367016e-001
2.999215312498521e-003	2.238994e-001
3.000000000000000e-003	2.238621e-001
Step Information: X=680n Y=10K  (Run: 6/6)
0.000000000000000e+000	0.000000e+000
5.999998014231095e-007	2.694030e-005
1.000000000000000e-006	7.352575e-005
9.486831905700898e-005	1.378180e-002
2.589308190570091e-004	3.729138e-002
4.933058190570093e-004	6.990765e-002
5.010000000000000e-004	7.095949e-002
5.020000000000001e-004	7.102195e-002
1.000000000000000e-003	6.600653e-002
1.001000000000000e-003	6.607080e-002
1.299692878124650e-003	1.062061e-001
1.501000000000000e-003	1.322781e-001
1.502000000000000e-003	1.323316e-001
2.000000000000000e-003	1.229866e-001
2.001000000000000e-003	1.230425e-001
2.405161628141456e-003	1.736462e-001
2.501000000000000e-003	1.852110e-001
2.502000000000000e-003	1.852567e-001
2.737880390625010e-003	1.789407e-001
2.999215312498521e-003	1.721941e-001
3.000000000000000e-003	1.721743e-001
